City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Umm Lajj,SA,25.0213,37.2685,72.25,73,100,9.86,overcast clouds
230,Kaitangata,NZ,-46.2817,169.8464,58.3,50,38,1.81,scattered clouds
231,Tianpeng,CN,30.9866,103.9393,64.29,72,100,3.04,overcast clouds
232,Nishihara,JP,26.1842,127.7558,78.46,73,75,12.66,broken clouds
233,Strezhevoy,RU,60.7333,77.5889,33.84,95,78,3.69,broken clouds
234,Mayo,US,38.8876,-76.5119,68.09,73,40,5.75,scattered clouds
235,Eureka,US,40.8021,-124.1637,46.18,79,48,3.0,scattered clouds
236,Big Rapids,US,43.6981,-85.4837,59.07,40,100,10.36,overcast clouds
237,Roald,NO,62.5833,6.1333,42.75,87,100,2.3,overcast clouds
238,Quatre Cocos,MU,-20.2078,57.7625,77.09,81,71,18.63,light rain
239,Isiro,CD,2.7739,27.616,66.52,93,63,1.61,light rain
240,Thinadhoo,MV,0.5333,72.9333,84.0,67,76,12.91,broken clouds
241,Nome,US,64.5011,-165.4064,37.47,70,100,10.36,overcast clouds
242,Angoche,MZ,-16.2325,39.9086,73.42,93,24,4.99,light rain
243,Airai,TL,-8.9266,125.4092,75.58,52,93,2.51,overcast clouds
244,Fortuna Foothills,US,32.6578,-114.4119,68.09,10,0,6.91,clear sky
245,Ayia Trias,GR,38.35,22.9167,43.61,78,10,1.14,clear sky
246,Nicolas Bravo,MX,18.45,-88.9167,75.67,87,93,5.19,overcast clouds
247,Jackson,US,42.4165,-122.8345,40.44,71,75,3.0,broken clouds
248,Tank,PK,32.2217,70.3793,85.77,24,38,10.42,scattered clouds
249,Pryyutivka,UA,48.7209,33.0708,38.12,94,100,16.93,overcast clouds
250,Torbay,CA,47.6666,-52.7314,36.57,85,75,24.16,broken clouds
251,Brae,GB,60.3964,-1.353,43.34,92,100,15.03,overcast clouds
252,Gasa,PS,31.5,34.4667,56.39,69,18,3.11,few clouds
253,Mutis,CO,6.2262,-77.4044,78.39,91,100,3.47,moderate rain
254,Klaksvik,FO,62.2266,-6.589,41.92,88,95,19.13,overcast clouds
255,Panguna,PG,-6.3164,155.4848,81.3,64,100,2.77,light rain
256,Vigrestad,NO,58.5667,5.7,41.95,70,100,24.4,light rain
257,Gurupi,BR,-11.7292,-49.0686,75.33,83,35,1.74,scattered clouds
258,Aksum,ET,14.1245,38.7244,59.11,61,56,4.5,broken clouds
259,Porto Novo,BJ,6.4965,2.6036,78.37,80,100,4.32,overcast clouds
260,Llandrindod Wells,GB,52.2416,-3.3787,50.94,99,100,5.99,overcast clouds
261,Orlik,RU,52.5178,99.825,13.87,76,100,1.59,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,4.61,clear sky
263,Kocser,HU,47.0017,19.9207,35.94,75,0,0.0,clear sky
264,Mehamn,NO,71.0357,27.8492,30.15,64,75,6.91,light snow
265,Sambava,MG,-14.2667,50.1667,73.54,87,85,8.48,overcast clouds
266,Flinders,AU,-34.5833,150.8552,66.18,78,97,8.99,light rain
